# idh: Índice de Desenvolvimento Humano (IDH) (2000);
# renda: Renda per capita (2000);
# anfab: Alfabetizados - pessoas 15 anos e mais (2000);
???Sigla;Código;Município;idh;renda;alfab;
BA;2916104;Itaparica;;131,241;85,092;
BA;2916203;Itapé;;78,828;70,415;
BA;2916302;Itapebi;;88,006;63,042;
BA;2916401;Itapetinga;;160,316;78,175;
BA;2916500;Itapicuru;;62,827;52,789;
BA;2916609;Itapitanga;;83,117;62,864;
BA;2916708;Itaquara;;82,856;61,015;
BA;2916807;Itarantim;;98,76;72,849;
BA;2916856;Itatim;;91,282;69,037;
BA;2916906;Itiruçu;;111,093;68,354;
BA;2917003;Itiúba;;68,602;68,248;
BA;2917102;Itororó;;108,952;68,196;
BA;2917201;Ituaçu;;115,319;62,178;
BA;2917300;Ituberá;;95,048;68,133;
BA;2917334;Iuiú;;73,754;62,422;
BA;2917359;Jaborandi;;62,525;62,861;
BA;2917409;Jacaraci;;88,6;66,461;
BA;2917508;Jacobina;;147,381;76,598;
BA;2917607;Jaguaquara;;114,635;67,534;
BA;2917706;Jaguarari;;108,572;71,229;
BA;2917805;Jaguaripe;;73,079;62,968;
BA;2917904;Jandaíra;;58,68;59,717;
BA;2918001;Jequié;;140,052;77,683;
BA;2918100;Jeremoabo;;79,837;55,862;
BA;2918209;Jiquiriçá;;91,502;64,53;
BA;2918308;Jitaúna;;70,56;64,9;
BA;2918357;João Dourado;;98,322;71,258;
BA;2918407;Juazeiro;;175,148;79,549;
BA;2918456;Jucuruçu;;81,789;55,315;
BA;2918506;Jussara;;75,317;66,405;
BA;2918555;Jussari;;89,269;72,04;
BA;2918605;Jussiape;;98,44;78,934;
BA;2918704;Lafaiete Coutinho;;80,692;65,143;
BA;2918753;Lagoa Real;;60,603;60,866;
BA;2918803;Laje;;98,553;64,944;
BA;2918902;Lajedão;;148,21;64,193;
BA;2919009;Lajedinho;;59,603;69,876;
BA;2919058;Lajedo do Tabocal;;88,362;65,445;
BA;2919108;Lamarão;;78,011;64,902;
BA;2919157;Lapão;;102,064;74,893;
BA;2919207;Lauro de Freitas;;322,425;90,567;
BA;2919306;Lençóis;;119,899;71,472;
BA;2919405;Licínio de Almeida;;114,612;71,385;
BA;2919504;Livramento de Nossa Senhora;;114,103;71,804;
BA;2919553;Luís Eduardo Magalhães;;;;
BA;2919603;Macajuba;;63,427;65,96;
BA;2919702;Macarani;;93,746;63,528;
BA;2919801;Macaúbas;;76,302;64,823;
BA;2919900;Macururé;;67,299;70,725;
BA;2919926;Madre de Deus;;164,294;91,272;
BA;2919959;Maetinga;;61,074;60,214;
BA;2920007;Maiquinique;;97,983;66,231;
BA;2920106;Mairi;;75,457;69,04;
BA;2920205;Malhada;;60,15;62,463;
BA;2920304;Malhada de Pedras;;75,049;67,671;
BA;2920403;Manoel Vitorino;;67,003;60,215;
BA;2920452;Mansidão;;46,98;77,345;
BA;2920502;Maracás;;73,491;71,215;
BA;2920601;Maragogipe;;82,69;69,291;
BA;2920700;Maraú;;95,382;54,175;
BA;2920809;Marcionílio Souza;;81,821;65,279;
BA;2920908;Mascote;;72,969;63,723;
BA;2921005;Mata de São João;;128,106;81,238;
BA;2921054;Matina;;47,997;59,233;
BA;2921104;Medeiros Neto;;141,024;68,849;
BA;2921203;Miguel Calmon;;88,279;74,09;
BA;2921302;Milagres;;100,549;72,487;
BA;2921401;Mirangaba;;62,421;70,044;
BA;2921450;Mirante;;56,641;64,488;
BA;2921500;Monte Santo;;47,338;55,755;
BA;2921609;Morpará;;79,932;66,865;
BA;2921708;Morro do Chapéu;;106,797;70,064;
BA;2921807;Mortugaba;;87,5;69,045;
BA;2921906;Mucugê;;80,037;66,101;
BA;2922003;Mucuri;;176,649;74,39;
BA;2922052;Mulungu do Morro;;51,992;72,078;
BA;2922102;Mundo Novo;;86,637;69,735;
BA;2922201;Muniz Ferreira;;88,677;69,745;
BA;2922250;Muquém de São Francisco;;74,093;63,795;
BA;2922300;Muritiba;;116,381;76,651;
BA;2922409;Mutuípe;;170,776;67,275;
BA;2922508;Nazaré;;107,844;77,063;
BA;2922607;Nilo Peçanha;;72,373;66,51;
BA;2922656;Nordestina;;58,919;61,732;
BA;2922706;Nova Canaã;;81,767;62,061;
BA;2922730;Nova Fátima;;111,351;71,223;
